Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
90,0,0.809752154,0.608016002,0.025007669,0.064197902
92,0,0.807141447,0.618471205,0.0173001,0.066358236
94,0,0.810663199,0.606184006,0.031453023,0.10015928
96,0,0.814322102,0.592820656,0.025506011,0.082743203
98,0,0.810864031,0.604724252,0.038784704,0.096984281
100,0,0.812250197,0.59926945,0.032066342,0.101352964
0,0.25,0.106538987,2.626373768,0.059182798,0.052673982
2,0.25,0.123035853,2.316662598,0.018379189,0.032790599
4,0.25,0.163239613,2.281913185,0.024082189,0.110783976
6,0.25,0.15166536,2.252600479,0.018312425,0.071443205
8,0.25,0.24145768,2.191788292,0.029290654,0.109086511
10,0.25,0.276753524,2.14582057,0.020367921,0.083858597
12,0.25,0.399333864,2.08565917,0.039174319,0.129228913
14,0.25,0.379770768,2.033577919,0.029779684,0.108380292
16,0.25,0.480652428,1.949451089,0.025158331,0.160635748
18,0.25,0.536358732,1.872052193,0.026596213,0.189952146
20,0.25,0.556068766,1.783763981,0.017149458,0.03597814
22,0.25,0.605681825,1.694031262,0.015822481,0.039701197
24,0.25,0.640154791,1.595274425,0.01966152,0.043341757
26,0.25,0.635868931,1.504988146,0.076278357,0.039664391
28,0.25,0.655436909,1.407988071,0.05780242,0.038712388
30,0.25,0.653781354,1.352047157,0.094701152,0.149504985
32,0.25,0.685168505,1.244220996,0.058025317,0.040662293
34,0.25,0.658914566,1.227515507,0.02296277,0.164515936
36,0.25,0.705294859,1.11001265,0.086198853,0.179577899
38,0.25,0.695660269,1.093039346,0.014291905,0.179506464
40,0.25,0.715076411,1.012978363,0.093379246,0.044947852
42,0.25,0.707356977,1.000338292,0.056763677,0.140116727
44,0.25,0.735824835,0.916594827,0.054012924,0.154714308
46,0.25,0.725455523,0.914263093,0.058319474,0.117523334
48,0.25,0.728590322,0.8924312,0.07471318,0.171932138
50,0.25,0.736500788,0.859363008,0.057682558,0.106566078
52,0.25,0.753301322,0.816481519,0.02946407,0.083228078
54,0.25,0.741878903,0.822364652,0.080028251,0.1965117
56,0.25,0.754555249,0.798513508,0.043056803,0.108399977
58,0.25,0.757445133,0.778462279,0.071412235,0.151855102
60,0.25,0.757523501,0.775881088,0.057759059,0.158613467
62,0.25,0.765223348,0.752370489,0.039519315,0.118444101
64,0.25,0.76927408,0.737313032,0.085298622,0.037221799
66,0.25,0.780417323,0.707448757,0.03867229,0.120151683
68,0.25,0.780074441,0.705166459,0.060890858,0.19028006
70,0.25,0.782048392,0.694312644,0.025588638,0.061199012
72,0.25,0.791927898,0.668973446,0.051373243,0.147512103
74,0.25,0.789116383,0.674355245,0.06610085,0.183301293
76,0.25,0.796546841,0.651288068,0.022335001,0.060275984
78,0.25,0.796443963,0.650400674,0.033202068,0.097053138
80,0.25,0.794063473,0.65755167,0.073613207,0.034761827
82,0.25,0.804903018,0.625187266,0.018163884,0.056495059
84,0.25,0.786922026,0.674713445,0.069466658,0.033429533
86,0.25,0.801268601,0.636623967,0.047777509,0.142609409
88,0.25,0.807019007,0.618122947,0.042289797,0.124601193
90,0.25,0.800666165,0.635669339,0.051422569,0.136921757
92,0.25,0.811500776,0.605101645,0.025086398,0.06665165
94,0.25,0.807229626,0.616135347,0.065552682,0.195464639
96,0.25,0.808767641,0.61358639,0.049809958,0.153333698
98,0.25,0.812029791,0.603185725,0.020258471,0.057100738
100,0.25,0.812264895,0.599237764,0.044694715,0.131856159
0,0.5,0.101851489,2.551061058,0.024795896,0.037761963
2,0.5,0.125161636,2.33724618,0.017119408,0.124779896
4,0.5,0.143323861,2.278900719,0.022468868,0.026115388
6,0.5,0.157136559,2.251522827,0.087113831,0.057752288
8,0.5,0.278879312,2.190461493,0.051082488,0.105046352
10,0.5,0.279506269,2.141848993,0.028828309,0.071081651
12,0.5,0.366379306,2.086443424,0.044934948,0.112838287
14,0.5,0.438930243,2.013064194,0.035013088,0.16420538
16,0.5,0.440752345,1.948940611,0.030149033,0.138081051
18,0.5,0.551405758,1.863230395,0.035927193,0.036025001
20,0.5,0.573364031,1.779217482,0.030451944,0.19623048
22,0.5,0.56522336,1.687950706,0.038411274,0.047411014
24,0.5,0.628492355,1.589666724,0.019577816,0.042049341
26,0.5,0.64210912,1.501767945,0.020962993,0.047595934
28,0.5,0.633919466,1.415704203,0.017659863,0.049758933
30,0.5,0.667138517,1.32292788,0.068559326,0.041591313
32,0.5,0.67377547,1.24572587,0.019984077,0.05139766
34,0.5,0.685344827,1.192191052,0.088541769,0.038370252
36,0.5,0.692104244,1.12171514,0.05054544,0.195930993
38,0.5,0.683454156,1.089905453,0.089001491,0.034141947
40,0.5,0.718661833,1.000471818,0.041124242,0.191393856
42,0.5,0.697399104,1.011163175,0.018350435,0.053687623
44,0.5,0.713117158,0.94837606,0.018986945,0.054504362
46,0.5,0.727145374,0.910494077,0.053331031,0.184284242
48,0.5,0.73265084,0.873008049,0.07104884,0.150561041
50,0.5,0.75386951,0.822529423,0.066200251,0.03577729
52,0.5,0.750710225,0.817482352,0.046497921,0.080268048
54,0.5,0.751920056,0.801404047,0.044151768,0.065099476
56,0.5,0.752576411,0.79572798,0.078683512,0.042523698
58,0.5,0.750171435,0.793729615,0.014809011,0.042082
60,0.5,0.765453565,0.753451908,0.045830088,0.131026297
62,0.5,0.758885193,0.763346982,0.034767659,0.138829269
64,0.5,0.763636374,0.749600065,0.039362835,0.111597324
66,0.5,0.779031157,0.708102453,0.048410224,0.136488658
68,0.5,0.774441624,0.721676302,0.060013161,0.176914173
70,0.5,0.786520386,0.684587395,0.052367157,0.144507766
72,0.5,0.782165945,0.694147408,0.043877528,0.129639355
74,0.5,0.789591503,0.670608187,0.032626032,0.095884545
76,0.5,0.785751367,0.683434188,0.074504436,0.041133638
78,0.5,0.7919034,0.659020519,0.032506121,0.083808653
80,0.5,0.799133039,0.638703537,0.044910647,0.121714548
82,0.5,0.793691218,0.655771959,0.043108278,0.144429761
84,0.5,0.794323075,0.650250423,0.032720231,0.095478618
86,0.5,0.809644389,0.611437428,0.018667974,0.050108566
88,0.5,0.801229441,0.632027531,0.047875337,0.148315854
90,0.5,0.802551913,0.629717147,0.026244017,0.077123828
92,0.5,0.811819172,0.602713144,0.013780952,0.037937341
94,0.5,0.812392235,0.59865576,0.025243946,0.074795009
96,0.5,0.808047605,0.614563072,0.053583847,0.170592019
98,0.5,0.81027627,0.604922318,0.023016683,0.062573514
100,0.5,0.81548295,0.59355458,0.010267814,0.044153772
0,0.75,0.098398316,2.641643715,0.01260501,0.060175
2,0.75,0.115869907,2.339528179,0.050265045,0.101140374
4,0.75,0.105559365,2.299125624,0.021540335,0.052991255
6,0.75,0.14893221,2.267718172,0.096683552,0.095769209
8,0.75,0.231857362,2.207674837,0.027995623,0.095562548
10,0.75,0.270141065,2.164618111,0.039753555,0.088525187
12,0.75,0.347428495,2.1162251,0.018334243,0.099321495
14,0.75,0.39018417,2.047452307,0.037368449,0.127382087
16,0.75,0.417834049,1.983302259,0.041870116,0.142445447
18,0.75,0.493823475,1.906930327,0.027979972,0.160239697
20,0.75,0.539904982,1.812501144,0.029767897,0.191027966
22,0.75,0.548119134,1.727802372,0.026638192,0.186194469
24,0.75,0.606715333,1.611909604,0.015038701,0.040716605
26,0.75,0.639630675,1.514316154,0.088219816,0.038043538
28,0.75,0.64273119,1.435678959,0.01492353,0.033653713
30,0.75,0.650754309,1.32841928,0.022681576,0.041632453
32,0.75,0.680074453,1.241947269,0.053935532,0.034630204
34,0.75,0.672482371,1.189080977,0.017453197,0.047737496
36,0.75,0.688376749,1.122368073,0.070938124,0.188143086
38,0.75,0.680838549,1.092690289,0.02624869,0.063877777
40,0.75,0.702600908,1.035588682,0.014368739,0.048716083
42,0.75,0.723172998,0.970356917,0.048455999,0.039183896
44,0.75,0.726866198,0.926220739,0.051430506,0.188553164
46,0.75,0.716021752,0.934032202,0.069264536,0.194258509
48,0.75,0.736177516,0.874934351,0.071022176,0.161043877
50,0.75,0.730652428,0.869309688,0.039977483,0.139005281
52,0.75,0.727424574,0.868986821,0.081956964,0.036298398
54,0.75,0.751993537,0.814335465,0.048424346,0.117016293
56,0.75,0.751141262,0.796883023,0.038279505,0.12727171
58,0.75,0.743980217,0.811293352,0.079756477,0.199602782
60,0.75,0.761789775,0.766624486,0.01762198,0.054913091
62,0.75,0.771772146,0.73697896,0.015193233,0.048003153
