,Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
0,0,0,0.097119908,2.735897923,0.013508427,0.152959408
1,2,0,0.126126567,2.356548214,0.098519786,0.157180424
2,4,0,0.154770769,2.316729546,0.021093048,0.0671912
3,6,0,0.140742554,2.283401394,0.01444562,0.1794797
4,8,0,0.217123821,2.212782001,0.023709809,0.046801056
5,10,0,0.300240013,2.170729923,0.020490131,0.044937596
6,12,0,0.318333662,2.112034082,0.017904898,0.046088368
7,14,0,0.387646937,2.051291561,0.082998334,0.05742426
8,16,0,0.457415742,1.987446499,0.020789504,0.07091462
9,18,0,0.52143907,1.907982898,0.021491118,0.071226056
10,20,0,0.51670258,1.832611513,0.09219017,0.095998796
11,22,0,0.598163199,1.740200472,0.01144009,0.100844672
12,24,0,0.622085631,1.650393581,0.097726755,0.114396332
13,26,0,0.645239031,1.555186486,0.063614809,0.11901024
14,28,0,0.667349136,1.457154322,0.089259818,0.123976748
15,30,0,0.675891471,1.372429657,0.051729952,0.119252576
16,32,0,0.69408797,1.289338732,0.069275602,0.122157964
17,34,0,0.680441797,1.230478048,0.062005777,0.1119398
18,36,0,0.687730217,1.173313355,0.019771713,0.083170516
19,38,0,0.709644401,1.096394062,0.013908146,0.124438604
20,40,0,0.692863452,1.067450213,0.011853586,0.120554784
21,42,0,0.694190836,1.057240427,0.013783633,0.131875616
22,44,0,0.724426913,0.967107153,0.016283403,0.058178268
23,46,0,0.731710434,0.926300704,0.07986897,0.099902768
24,48,0,0.722825241,0.921636546,0.086924601,0.09183974
25,50,0,0.72914381,0.891605985,0.093692144,0.093885508
26,52,0,0.758508027,0.806286573,0.01690389,0.13253906
27,54,0,0.740747452,0.830846846,0.094473192,0.101856796
28,56,0,0.75530467,0.796025324,0.040432359,0.04140986
29,58,0,0.772712588,0.747132683,0.024122218,0.178368296
30,60,0,0.76514498,0.750504076,0.051143694,0.052016888
31,62,0,0.772830141,0.732068992,0.039915178,0.041258264
32,64,0,0.781323481,0.708333349,0.031934404,0.196704426
33,66,0,0.782645965,0.697379065,0.019542243,0.100684718
34,68,0,0.787593067,0.682812262,0.028139114,0.159040988
35,70,0,0.784673786,0.686368358,0.014764888,0.171669756
36,72,0,0.79354918,0.659521723,0.019259774,0.1981877
37,74,0,0.792344236,0.664785433,0.006477754,0.098422768
38,76,0,0.801141262,0.63773216,0.014712405,0.151154432
39,78,0,0.792594039,0.657495558,0.029628942,0.149561396
40,80,0,0.798016262,0.644683921,0.01740348,0.102750266
41,82,0,0.806392062,0.619078588,0.014627928,0.189776436
42,84,0,0.798182797,0.63918823,0.021692922,0.12246504
43,86,0,0.811192203,0.603555059,0.017268663,0.18018736
44,88,0,0.808047616,0.612991321,0.018073847,0.1873016
45,90,0,0.806421423,0.619576752,0.022329928,0.134875882
46,92,0,0.815982556,0.591185594,0.023080881,0.152000896
47,94,0,0.811353838,0.6009637,0.026008418,0.155995618
48,96,0,0.816281354,0.587477982,0.015146761,0.14338976
49,98,0,0.815360498,0.592034769,0.03524809,0.043562644
50,100,0,0.821840715,0.573613751,0.022442352,0.1199091
0,0,0.25,0.098888128,2.644929886,0.019867142,0.107843562
1,2,0.25,0.133831309,2.334928226,0.010992143,0.150477408
2,4,0.25,0.136868142,2.305738974,0.012486472,0.047257192
3,6,0.25,0.146189265,2.263331318,0.011920159,0.143553278
4,8,0.25,0.210217479,2.207910967,0.031047925,0.061699472
5,10,0.25,0.279633626,2.163549042,0.02112381,0.058982328
6,12,0.25,0.301993531,2.111524343,0.028862948,0.08210758
7,14,0.25,0.390816027,2.049179721,0.019650438,0.093177864
8,16,0.25,0.444494516,1.993380475,0.021258705,0.114826912
9,18,0.25,0.526102072,1.919023728,0.016191432,0.127300316
10,20,0.25,0.513993931,1.846505952,0.040009085,0.155728352
11,22,0.25,0.575102854,1.766424632,0.011874708,0.154760076
12,24,0.25,0.61371963,1.677637076,0.0165919,0.182615244
13,26,0.25,0.611202002,1.597321153,0.018273388,0.178244268
14,28,0.25,0.637798798,1.507650805,0.016887987,0.185992804
15,30,0.25,0.648731387,1.448101306,0.093147262,0.15914862
16,32,0.25,0.668916535,1.356670141,0.055914951,0.135352052
17,34,0.25,0.67145865,1.268511343,0.012414714,0.169638064
18,36,0.25,0.69164381,1.20631063,0.013452919,0.169020708
19,38,0.25,0.708459067,1.140305185,0.013115115,0.185307416
20,40,0.25,0.682592082,1.125626278,0.098888155,0.10246918
21,42,0.25,0.70787127,1.056071389,0.074468833,0.109692164
22,44,0.25,0.717692006,1.013760281,0.010688935,0.118756052
23,46,0.25,0.714704156,0.982265556,0.05834394,0.114347236
24,48,0.25,0.720302701,0.956445789,0.087485653,0.081716244
25,50,0.25,0.743147516,0.883096576,0.079486999,0.110958248
26,52,0.25,0.737049365,0.882249415,0.069471896,0.08942872
27,54,0.25,0.746811318,0.845033014,0.052583406,0.073753872
28,56,0.25,0.748319936,0.824612308,0.037244277,0.054270936
29,58,0.25,0.756436133,0.803126299,0.064820106,0.088893076
30,60,0.25,0.760839522,0.785029328,0.051599532,0.067603456
31,62,0.25,0.768558967,0.753743696,0.046444758,0.048506452
32,64,0.25,0.768274879,0.749635291,0.038115471,0.05625648
33,66,0.25,0.765580916,0.755848467,0.035365049,0.045436596
34,68,0.25,0.785452592,0.692364275,0.019341229,0.1437158
35,70,0.25,0.777282512,0.70835526,0.097428056,0.108038176
36,72,0.25,0.785849345,0.692573583,0.010952114,0.107898118
