,Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
38,76,0.25,0.775749409,0.720320094,0.076805451,0.047397699
39,78,0.25,0.738749015,0.815630615,0.016814353,0.048944665
40,80,0.25,0.776596785,0.717831206,0.091487461,0.04949983
41,82,0.25,0.76936717,0.730081832,0.063969711,0.03336159
42,84,0.25,0.751675153,0.78634274,0.018796477,0.058570515
43,86,0.25,0.776934767,0.70735786,0.069014661,0.036804612
44,88,0.25,0.782180643,0.691585541,0.077904314,0.040122306
45,90,0.25,0.778242564,0.707590711,0.078257053,0.046885941
46,92,0.25,0.791403806,0.663442266,0.062993601,0.028434707
47,94,0.25,0.794264305,0.655078232,0.074605925,0.036116302
48,96,0.25,0.785883629,0.677183974,0.049446962,0.023922527
49,98,0.25,0.795013714,0.646684885,0.058301663,0.026477234
50,100,0.25,0.792902637,0.654537535,0.042040632,0.019866312
0,0,0.5,0.102752744,2.584636211,0.027645489,0.060735169
1,2,0.5,0.113533503,2.353991795,0.043613949,0.027641497
2,4,0.5,0.140336011,2.300921249,0.020652883,0.02437193
3,6,0.5,0.177424568,2.259177065,0.023142985,0.099700292
4,8,0.5,0.269558185,2.190249205,0.045864227,0.020991014
5,10,0.5,0.201645765,2.163761997,0.034620758,0.018401539
6,12,0.5,0.349000782,2.086852407,0.019030903,0.029887647
7,14,0.5,0.38603546,2.02403934,0.037901084,0.03852119
8,16,0.5,0.374681622,1.954436994,0.022763538,0.033731582
9,18,0.5,0.422080719,1.873731637,0.05606296,0.051916259
10,20,0.5,0.471096194,1.782090759,0.027564911,0.044304688
11,22,0.5,0.495341885,1.694680929,0.037967589,0.051400314
12,24,0.5,0.499353451,1.626621962,0.052821072,0.064016147
13,26,0.5,0.514836401,1.566897535,0.057281023,0.05538504
14,28,0.5,0.538058382,1.459412313,0.048915069,0.076924214
15,30,0.5,0.543872446,1.46568532,0.039138595,0.054701043
16,32,0.5,0.567153209,1.356786227,0.064323127,0.103003473
17,34,0.5,0.567608726,1.323171234,0.036098972,0.069521862
18,36,0.5,0.601831889,1.273312354,0.027819611,0.044240284
19,38,0.5,0.584629709,1.260347295,0.03298804,0.065598435
20,40,0.5,0.588920462,1.246832108,0.03127176,0.064476622
21,42,0.5,0.590571117,1.227356434,0.031781059,0.081148065
