Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss,,,,,,,,,,
58,0.25,0.286050162,2.283783436,0.020932037,0.107363847,,,,,,,,,,
60,0.25,0.253237662,2.554434538,0.015975224,0.180487821,,,,,,,,,,
62,0.25,0.297149298,2.209166074,0.023535016,0.156346821,,,,,,,,,,
64,0.25,0.320106786,2.224834538,0.019980771,0.10954117,,,,,,,,,,
66,0.25,0.265678877,2.319165325,0.016516537,0.085350248,,,,,,,,,,
68,0.25,0.234894195,2.315146732,0.014163946,0.099158578,,,,,,,,,,
70,0.25,0.231313676,2.369497538,0.011517555,0.119631864,,,,,,,,,,
72,0.25,0.231152037,2.326482773,0.014787287,0.087554243,,,,,,,,,,
74,0.25,0.206396943,2.349527931,0.011769725,0.055212825,,,,,,,,,,
76,0.25,0.257841891,2.245306683,0.011334108,0.088820932,,,,,,,,,,
78,0.25,0.217148316,2.454341269,0.015289792,0.125108962,,,,,,,,,,
80,0.25,0.212274683,2.321585655,0.013908762,0.127149105,,,,,,,,,,
82,0.25,0.249544477,2.174112701,0.021900915,0.061983039,,,,,,,,,,
84,0.25,0.220763126,2.252131796,0.019372055,0.050724205,,,,,,,,,,
86,0.25,0.22114518,2.159033871,0.018020563,0.057040339,,,,,,,,,,
88,0.25,0.225793496,2.150491571,0.017800271,0.053976655,,,,,,,,,,
90,0.25,0.222546044,2.193036747,0.018393638,0.091605109,,,,,,,,,,
92,0.25,0.204844238,2.188433313,0.018960783,0.051806121,,,,,,,,,,
94,0.25,0.219901055,2.181920815,0.02136539,0.068309497,,,,,,,,,,
96,0.25,0.212965317,2.130959034,0.021058683,0.069071136,,,,,,,,,,
98,0.25,0.215438868,2.163489151,0.025662015,0.079760595,,,,,,,,,,
100,0.25,0.248388518,2.219512725,0.029308743,0.141873735,,,,,,,,,,
0,0.5,0.105324255,2.523246431,0.024320246,0.035817958,,,,,,,,,,
2,0.5,0.097962384,2.338872862,0.071587428,0.02962766,,,,,,,,,,
4,0.5,0.138920455,2.323031616,0.010434314,0.02302565,,,,,,,,,,
6,0.5,0.127968258,2.333829498,0.085802004,0.027058918,,,,,,,,,,
8,0.5,0.145655368,2.315292215,0.091277681,0.066553736,,,,,,,,,,
10,0.5,0.157743928,2.362185001,0.019260804,0.071694895,,,,,,,,,,
12,0.5,0.171208853,2.562014532,0.0631141,0.150665709,,,,,,,,,,
14,0.5,0.146532133,3.230779791,0.096701828,0.178648888,,,,,,,,,,
16,0.5,0.138146551,3.337215567,0.014507472,0.178443262,,,,,,,,,,
18,0.5,0.167388323,3.705660582,0.081712315,0.161227045,,,,,,,,,,
20,0.5,0.165409487,4.262486267,0.011146242,0.290800494,,,,,,,,,,
22,0.5,0.161461601,5.835877609,0.012080999,0.267086086,,,,,,,,,,
24,0.5,0.136358736,8.131450462,0.092363962,0.66490934,,,,,,,,,,
26,0.5,0.118916535,10.99463863,0.071831612,0.340623074,,,,,,,,,,
28,0.5,0.114351487,15.0341156,0.058114178,1.914275872,,,,,,,,,,
30,0.5,0.119734521,19.47497082,0.032591825,2.43366321,,,,,,,,,,
32,0.5,0.110452588,23.25564995,0.072188524,4.030985122,,,,,,,,,,
34,0.5,0.114689459,36.92484818,0.029653388,11.20068443,,,,,,,,,,
36,0.5,0.100308581,43.47061806,0.070556206,16.01147619,,,,,,,,,,
38,0.5,0.110364421,36.26033001,0.082991614,13.61883081,,,,,,,,,,
40,0.5,0.10424667,30.44599352,0.043007206,10.55276142,,,,,,,,,,
42,0.5,0.097315831,39.01365023,0.02186834,12.88540333,,,,,,,,,,
44,0.5,0.104648314,25.12592907,0.067657712,7.273577515,,,,,,,,,,
46,0.5,0.092123824,41.64489746,0.027038621,14.42386868,,,,,,,,,,
48,0.5,0.095714147,45.11662216,0.058995395,17.69869734,,,,,,,,,,
50,0.5,0.106950431,49.85721779,0.043474791,15.79595711,,,,,,,,,,
52,0.5,0.102571513,94.69336224,0.036931883,40.00273789,,,,,,,,,,
54,0.5,0.100367361,102.104598,0.052131777,53.48733263,,,,,,,,,,
56,0.5,0.108792125,214.4917367,0.053656417,132.0893018,,,,,,,,,,
58,0.5,0.118632445,1042.894539,0.09437112,678.5381843,,,,,,,,,,
60,0.5,0.102115987,3136.253068,0.057942631,2245.964492,,,,,,,,,,
62,0.5,0.102532327,10065.82199,0.066209666,6784.685874,,,,,,,,,,
64,0.5,0.103262144,19154.9415,0.079151476,14539.09318,,,,,,,,,,
66,0.5,0.100969827,33244.31853,0.054583223,25449.18324,,,,,,,,,,
68,0.5,0.10929663,50724.8014,0.052986141,38822.07401,,,,,,,,,,
70,0.5,0.099892241,91915.34488,0.027342678,69372.06657,,,,,,,,,,
72,0.5,0.102458856,162411.771,0.032042409,122414.5217,,,,,,,,,,
74,0.5,0.103947885,225078.8097,0.03917989,166736.0742,,,,,,,,,,
