,Round,NoiseMultiplier,sparse_categorical_accuracy,loss,num_examples,num_batches
0,0.0,0.0,0.09877057373523712,3.075568675994873,40832.0,319.0
1,2.0,0.0,0.1479966640472412,2.2885398864746094,40832.0,319.0
2,4.0,0.0,0.16670748591423035,2.329346179962158,40832.0,319.0
3,6.0,0.0,0.10628918558359146,2.2400431632995605,40832.0,319.0
4,8.0,0.0,0.1923246532678604,2.2199819087982178,40832.0,319.0
5,10.0,0.0,0.3353252410888672,2.1562728881835938,40832.0,319.0
6,12.0,0.0,0.21248041093349457,2.1297380924224854,40832.0,319.0
7,14.0,0.0,0.2924422025680542,2.0601186752319336,40832.0,319.0
8,16.0,0.0,0.4609375,2.006140947341919,40832.0,319.0
9,18.0,0.0,0.4953222870826721,1.9248454570770264,40832.0,319.0
10,20.0,0.0,0.44391652941703796,1.8615144491195679,40832.0,319.0
11,22.0,0.0,0.5894151926040649,1.764614224433899,40832.0,319.0
12,24.0,0.0,0.675524115562439,1.6888355016708374,40832.0,319.0
13,26.0,0.0,0.605456531047821,1.5821678638458252,40832.0,319.0
14,28.0,0.0,0.5891702771186829,1.510236144065857,40832.0,319.0
15,30.0,0.0,0.6919082999229431,1.4202688932418823,40832.0,319.0
16,32.0,0.0,0.6908062100410461,1.319001317024231,40832.0,319.0
17,34.0,0.0,0.6111138463020325,1.291806936264038,40832.0,319.0
18,36.0,0.0,0.7055985331535339,1.1831735372543335,40832.0,319.0
19,38.0,0.0,0.6919572949409485,1.1747790575027466,40832.0,319.0
20,40.0,0.0,0.6724382638931274,1.1324833631515503,40832.0,319.0
21,42.0,0.0,0.6940144896507263,1.0285258293151855,40832.0,319.0
22,44.0,0.0,0.7112069129943848,0.9802842140197754,40832.0,319.0
23,46.0,0.0,0.7127008438110352,1.0035107135772705,40832.0,319.0
24,48.0,0.0,0.6842427253723145,0.996036946773529,40832.0,319.0
25,50.0,0.0,0.7099823951721191,0.9099881649017334,40832.0,319.0
26,52.0,0.0,0.7381220459938049,0.8434363007545471,40832.0,319.0
27,54.0,0.0,0.7182846665382385,0.8966855406761169,40832.0,319.0
28,56.0,0.0,0.7558287382125854,0.7831874489784241,40832.0,319.0
29,58.0,0.0,0.744905948638916,0.8108285069465637,40832.0,319.0
30,60.0,0.0,0.7397873997688293,0.8222920298576355,40832.0,319.0
31,62.0,0.0,0.7861481308937073,0.7092726826667786,40832.0,319.0
32,64.0,0.0,0.73148512840271,0.8177950382232666,40832.0,319.0
33,66.0,0.0,0.7714293003082275,0.7357661128044128,40832.0,319.0
34,68.0,0.0,0.7926871180534363,0.6800675988197327,40832.0,319.0
35,70.0,0.0,0.7850950360298157,0.6795826554298401,40832.0,319.0
36,72.0,0.0,0.7768172025680542,0.7114255428314209,40832.0,319.0
37,74.0,0.0,0.7893808484077454,0.6809402704238892,40832.0,319.0
38,76.0,0.0,0.7976341843605042,0.6494730114936829,40832.0,319.0
39,78.0,0.0,0.7843847870826721,0.6826797723770142,40832.0,319.0
40,80.0,0.0,0.7965076565742493,0.6496251225471497,40832.0,319.0
41,82.0,0.0,0.8058385848999023,0.630367636680603,40832.0,319.0
42,84.0,0.0,0.7869073152542114,0.6767233610153198,40832.0,319.0
43,86.0,0.0,0.7919768691062927,0.6572603583335876,40832.0,319.0
44,88.0,0.0,0.8028017282485962,0.6315884590148926,40832.0,319.0
45,90.0,0.0,0.809781551361084,0.6084229946136475,40832.0,319.0
46,92.0,0.0,0.8105162382125854,0.6057981252670288,40832.0,319.0
47,94.0,0.0,0.7983444333076477,0.6445414423942566,40832.0,319.0
48,96.0,0.0,0.8198226690292358,0.5809425711631775,40832.0,319.0
49,98.0,0.0,0.7923932075500488,0.6504873633384705,40832.0,319.0
50,100.0,0.0,0.8135285973548889,0.5924214720726013,40832.0,319.0
0,0.0,0.25,0.11461598426103592,2.570497751235962,40832.0,319.0
1,2.0,0.25,0.1148608922958374,2.326127290725708,40832.0,319.0
2,4.0,0.25,0.18806327879428864,2.250734567642212,40832.0,319.0
3,6.0,0.25,0.1710178256034851,2.218804121017456,40832.0,319.0
4,8.0,0.25,0.24691417813301086,2.1652584075927734,40832.0,319.0
5,10.0,0.25,0.30182209610939026,2.118908643722534,40832.0,319.0
6,12.0,0.25,0.4233689308166504,2.043883800506592,40832.0,319.0
7,14.0,0.25,0.33559462428092957,2.0220186710357666,40832.0,319.0
8,16.0,0.25,0.4251077473163605,1.9043772220611572,40832.0,319.0
9,18.0,0.25,0.5512832999229431,1.8096686601638794,40832.0,319.0
10,20.0,0.25,0.5660021305084229,1.7236964702606201,40832.0,319.0
11,22.0,0.25,0.5995053052902222,1.629460334777832,40832.0,319.0
12,24.0,0.25,0.6440292000770569,1.5196616649627686,40832.0,319.0
13,26.0,0.25,0.6585031151771545,1.4645698070526123,40832.0,319.0
14,28.0,0.25,0.6764547228813171,1.336221694946289,40832.0,319.0
15,30.0,0.25,0.6348941922187805,1.3102312088012695,40832.0,319.0
16,32.0,0.25,0.6909531950950623,1.186716079711914,40832.0,319.0
17,34.0,0.25,0.6732954382896423,1.1649221181869507,40832.0,319.0
18,36.0,0.25,0.6860305666923523,1.0803022384643555,40832.0,319.0
19,38.0,0.25,0.6712137460708618,1.0968763828277588,40832.0,319.0
