,Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
0,0,0,0.096311717,2.496378994,0.057940144,0.125648257
1,2,0,0.127943768,2.31809783,0.084363591,0.074466558
2,4,0,0.13292516,2.26630106,0.073332327,0.021003749
3,6,0,0.163504116,2.257742548,0.039375821,0.058233433
4,8,0,0.305554467,2.182496262,0.064529143,0.041102649
5,10,0,0.261726096,2.153210211,0.032856545,0.052206532
6,12,0,0.394778603,2.084346676,0.085159615,0.0585749
7,14,0,0.454947096,2.027928495,0.049989206,0.056736088
8,16,0,0.441163796,1.957825851,0.025252518,0.076956708
9,18,0,0.516883814,1.887576008,0.044180114,0.066424583
10,20,0,0.554163408,1.806484222,0.020833404,0.064055734
11,22,0,0.558978254,1.712894869,0.034940491,0.097159653
12,24,0,0.619612062,1.616298652,0.086975732,0.091882251
13,26,0,0.633988059,1.527342772,0.027132689,0.073803857
14,28,0,0.62676332,1.451169753,0.053694279,0.075332141
15,30,0,0.646561503,1.366565681,0.026581131,0.090913452
16,32,0,0.660437894,1.291395521,0.026304709,0.085813068
17,34,0,0.637593067,1.262321591,0.027038141,0.076096154
18,36,0,0.679893219,1.171465731,0.022043194,0.061078664
19,38,0,0.682836998,1.114428806,0.089229498,0.075882595
20,40,0,0.693142629,1.059288287,0.022825274,0.085768631
21,42,0,0.693906748,1.036651123,0.0203517,0.096135667
22,44,0,0.708365977,0.983397222,0.031941528,0.120967138
23,46,0,0.722124815,0.936108053,0.083556638,0.088364487
24,48,0,0.712720418,0.931725609,0.096988417,0.089902077
25,50,0,0.731367552,0.877041554,0.089387031,0.097034644
26,52,0,0.738974333,0.846862817,0.054606655,0.064905268
27,54,0,0.729496491,0.858341718,0.021859662,0.101702746
28,56,0,0.757523513,0.783176959,0.019999565,0.045500546
29,58,0,0.753781343,0.789989364,0.072664448,0.07479631
30,60,0,0.768142641,0.753327274,0.031121426,0.045637127
31,62,0,0.77051332,0.735302067,0.061507766,0.07201423
32,64,0,0.785403609,0.695145273,0.044714743,0.063175842
33,66,0,0.77282033,0.735773146,0.019998294,0.069221864
34,68,0,0.779878533,0.703669572,0.032263368,0.086632283
35,70,0,0.788670647,0.675035739,0.042887074,0.08363424
36,72,0,0.78497746,0.690003633,0.029275662,0.074831708
37,74,0,0.784144795,0.690235031,0.045770168,0.067975942
38,76,0,0.792197299,0.664283705,0.039258168,0.082140572
39,78,0,0.797315836,0.649707389,0.033611175,0.078633182
40,80,0,0.789312315,0.674865162,0.056518456,0.083813524
41,82,0,0.802184558,0.634241951,0.029312956,0.074613006
42,84,0,0.794073284,0.655212581,0.048052831,0.073122951
43,86,0,0.801939654,0.632649708,0.036052011,0.091159293
44,88,0,0.799338746,0.640563571,0.039408744,0.061010251
45,90,0,0.809644401,0.610004866,0.032691945,0.091854787
46,92,0,0.814777625,0.594634128,0.012791248,0.036535728
47,94,0,0.813670659,0.596974218,0.006971157,0.030550885
48,96,0,0.81188283,0.605360305,0.03137423,0.079228183
49,98,0,0.814057612,0.595851052,0.038087835,0.095824321
50,100,0,0.818784285,0.582751548,0.030095466,0.099607148
0,0,0.25,0.097217868,2.627144623,0.01405052,0.329876086
1,2,0.25,0.112289384,2.338203049,0.046709284,0.072636844
2,4,0.25,0.118710814,2.313612413,0.082704513,0.089888211
3,6,0.25,0.162049372,2.299517775,0.044180606,0.084697812
4,8,0.25,0.244969627,2.200365591,0.032223233,0.079563655
5,10,0.25,0.215566218,2.175123072,0.06641938,0.074977897
6,12,0.25,0.335237068,2.109133196,0.075428304,0.090955744
7,14,0.25,0.410976684,2.050061035,0.048586576,0.081982285
8,16,0.25,0.467163008,1.983415937,0.047471898,0.06560646
9,18,0.25,0.464204544,1.907404304,0.050614248,0.072640148
10,20,0.25,0.525269389,1.829574561,0.054244504,0.07859798
11,22,0.25,0.550186121,1.744841313,0.039194193,0.081043589
12,24,0.25,0.591844618,1.657684064,0.026352241,0.069891589
13,26,0.25,0.612029779,1.554720473,0.042998023,0.091108935
14,28,0.25,0.603854811,1.484034848,0.038761135,0.099168297
15,30,0.25,0.642060149,1.389797568,0.036089619,0.078496536
16,32,0.25,0.655157721,1.306651068,0.086840597,0.082496225
17,34,0.25,0.686393023,1.2211303,0.023572769,0.078267656
18,36,0.25,0.690698469,1.162382197,0.022297228,0.074514005
19,38,0.25,0.698104417,1.096972132,0.079008833,0.097917779
20,40,0.25,0.678301346,1.092061257,0.039118088,0.110897518
21,42,0.25,0.720503521,1.001514554,0.050967847,0.086263379
22,44,0.25,0.724049759,0.957607925,0.05657827,0.087248018
23,46,0.25,0.694822693,0.989587903,0.021072487,0.113284935
24,48,0.25,0.719210422,0.929520714,0.092100425,0.103315002
25,50,0.25,0.742349148,0.86398865,0.069304172,0.091780705
26,52,0.25,0.727689075,0.882085729,0.022387138,0.113475705
27,54,0.25,0.720145977,0.900303757,0.02640063,0.149958048
28,56,0.25,0.760428107,0.781310451,0.059603021,0.092387862
29,58,0.25,0.757783115,0.783903813,0.060238054,0.075234384
30,60,0.25,0.758826423,0.774658012,0.047539077,0.068567915
31,62,0.25,0.759188867,0.765671825,0.070565673,0.073396072
32,64,0.25,0.768578577,0.737819636,0.060532431,0.080465577
33,66,0.25,0.777821314,0.717452538,0.044157821,0.067323662
34,68,0.25,0.774255478,0.720894992,0.014504203,0.035083613
35,70,0.25,0.772531331,0.716108918,0.072416042,0.099755831
36,72,0.25,0.781730008,0.696333373,0.011366969,0.044112145
37,74,0.25,0.786779988,0.678759122,0.036675346,0.094260397
38,76,0.25,0.792153215,0.662491703,0.019179933,0.050715001
39,78,0.25,0.787980008,0.673639631,0.032014885,0.086189015
40,80,0.25,0.789562118,0.666226399,0.049756167,0.07501686
41,82,0.25,0.793941009,0.656472778,0.023508914,0.073518118
42,84,0.25,0.791232371,0.660520518,0.033803096,0.096105374
43,86,0.25,0.79321121,0.654965711,0.029186898,0.07527535
44,88,0.25,0.790962958,0.662606466,0.053892663,0.075866868
45,90,0.25,0.79544965,0.649392915,0.026832637,0.070786208
46,92,0.25,0.798687303,0.639918756,0.021276573,0.066910107
47,94,0.25,0.801004124,0.632614017,0.045317825,0.066275105
48,96,0.25,0.807200241,0.614499867,0.021729817,0.054868169
49,98,0.25,0.796081507,0.64815284,0.032241171,0.099701464
50,100,0.25,0.803722572,0.621568751,0.041962113,0.087948546
0,0,0.5,0.09851097,2.554461527,0.017974346,0.086895743
1,2,0.5,0.124921629,2.323411036,0.06570111,0.097116975
2,4,0.5,0.13356681,2.281788969,0.021683204,0.073773086
3,6,0.5,0.154231976,2.254797554,0.02098485,0.070709221
4,8,0.5,0.244391656,2.196949577,0.04752717,0.089239467
5,10,0.5,0.276518413,2.144919014,0.053721532,0.089154831
6,12,0.5,0.376484135,2.091967535,0.068962715,0.060651313
7,14,0.5,0.396326411,2.0289289,0.034772083,0.06363782
8,16,0.5,0.459835416,1.957615232,0.043206887,0.089765133
9,18,0.5,0.483077002,1.877591276,0.041266309,0.095401564
10,20,0.5,0.572893798,1.784110641,0.020817458,0.099612698
11,22,0.5,0.61282326,1.690752721,0.024034051,0.105657411
12,24,0.5,0.604021358,1.593763876,0.099488532,0.121402563
13,26,0.5,0.599480796,1.51796391,0.089388705,0.117616653
14,28,0.5,0.662896752,1.404844475,0.061005284,0.096269971
15,30,0.5,0.619166338,1.372578979,0.042543145,0.136876921
16,32,0.5,0.646394992,1.301752496,0.02123476,0.094589321
17,34,0.5,0.668509996,1.213461423,0.022821211,0.082557015
18,36,0.5,0.674588561,1.15287683,0.029661205,0.147920057
19,38,0.5,0.707763517,1.065115929,0.057972699,0.081886285
20,40,0.5,0.685021555,1.065055823,0.055034046,0.086473654
21,42,0.5,0.694930446,1.014525175,0.049369026,0.085441192
22,44,0.5,0.704893231,0.965364802,0.030075121,0.130739062
23,46,0.5,0.70258131,0.964798069,0.024335445,0.08535786
24,48,0.5,0.734316242,0.885200715,0.043663886,0.062335985
25,50,0.5,0.712740004,0.902870297,0.028832959,0.121662696
26,52,0.5,0.738342476,0.840578222,0.043823911,0.076932134
27,54,0.5,0.734899104,0.84906894,0.048999827,0.068329471
28,56,0.5,0.735001957,0.829997528,0.052786772,0.099483419
29,58,0.5,0.740517235,0.81937114,0.068213592,0.074368653
30,60,0.5,0.745709252,0.801295841,0.04435325,0.061003142
31,62,0.5,0.751327395,0.780208588,0.020738375,0.065919305
32,64,0.5,0.752424574,0.775598347,0.076522573,0.091856467
