,Round,NoiseMultiplier,sparse_categorical_accuracy,loss,num_examples,num_batches
0,0.0,0.0,0.10548099875450134,2.7235634326934814,40832.0,319.0
1,2.0,0.0,0.11111383140087128,2.365262508392334,40832.0,319.0
2,4.0,0.0,0.20491281151771545,2.285919189453125,40832.0,319.0
3,6.0,0.0,0.11221590638160706,2.2682101726531982,40832.0,319.0
4,8.0,0.0,0.22999118268489838,2.228917360305786,40832.0,319.0
5,10.0,0.0,0.2895033359527588,2.190173625946045,40832.0,319.0
6,12.0,0.0,0.21774588525295258,2.153668165206909,40832.0,319.0
7,14.0,0.0,0.35570141673088074,2.1063122749328613,40832.0,319.0
8,16.0,0.0,0.4811667203903198,2.0459086894989014,40832.0,319.0
9,18.0,0.0,0.4449451267719269,1.999035358428955,40832.0,319.0
10,20.0,0.0,0.5898804664611816,1.9295916557312012,40832.0,319.0
11,22.0,0.0,0.5574794411659241,1.8495872020721436,40832.0,319.0
12,24.0,0.0,0.5278457999229431,1.78129243850708,40832.0,319.0
13,26.0,0.0,0.6125587821006775,1.6900774240493774,40832.0,319.0
14,28.0,0.0,0.6770180463790894,1.5868988037109375,40832.0,319.0
15,30.0,0.0,0.6583561897277832,1.4911727905273438,40832.0,319.0
16,32.0,0.0,0.6802752614021301,1.3899129629135132,40832.0,319.0
17,34.0,0.0,0.6952390074729919,1.314084529876709,40832.0,319.0
18,36.0,0.0,0.694381833076477,1.2362443208694458,40832.0,319.0
19,38.0,0.0,0.691418468952179,1.1727277040481567,40832.0,319.0
20,40.0,0.0,0.6936716437339783,1.1270391941070557,40832.0,319.0
21,42.0,0.0,0.6314165592193604,1.1957753896713257,40832.0,319.0
22,44.0,0.0,0.7081945538520813,1.0487146377563477,40832.0,319.0
23,46.0,0.0,0.6832386255264282,1.029763102531433,40832.0,319.0
24,48.0,0.0,0.7210521101951599,0.9623407125473022,40832.0,319.0
25,50.0,0.0,0.6933043003082275,0.999918520450592,40832.0,319.0
26,52.0,0.0,0.7581064105033875,0.8411474227905273,40832.0,319.0
27,54.0,0.0,0.7321463823318481,0.8837535977363586,40832.0,319.0
28,56.0,0.0,0.7447835206985474,0.8420971632003784,40832.0,319.0
29,58.0,0.0,0.7532082796096802,0.8088971376419067,40832.0,319.0
30,60.0,0.0,0.7683924436569214,0.7599660158157349,40832.0,319.0
31,62.0,0.0,0.7557553052902222,0.794477641582489,40832.0,319.0
32,64.0,0.0,0.764351487159729,0.7718806862831116,40832.0,319.0
33,66.0,0.0,0.7724823951721191,0.7411248683929443,40832.0,319.0
34,68.0,0.0,0.7741722464561462,0.7350630164146423,40832.0,319.0
35,70.0,0.0,0.7818622589111328,0.7050499320030212,40832.0,319.0
36,72.0,0.0,0.7709149718284607,0.7291406989097595,40832.0,319.0
37,74.0,0.0,0.7946953177452087,0.6593132615089417,40832.0,319.0
38,76.0,0.0,0.792980968952179,0.6730183362960815,40832.0,319.0
39,78.0,0.0,0.7839439511299133,0.6933619976043701,40832.0,319.0
40,80.0,0.0,0.7821561694145203,0.6925464272499084,40832.0,319.0
41,82.0,0.0,0.8068671822547913,0.6289106607437134,40832.0,319.0
42,84.0,0.0,0.7931279540061951,0.6663907766342163,40832.0,319.0
43,86.0,0.0,0.7906543612480164,0.6722510457038879,40832.0,319.0
44,88.0,0.0,0.795944333076477,0.6479014158248901,40832.0,319.0
45,90.0,0.0,0.8126469254493713,0.6105380058288574,40832.0,319.0
46,92.0,0.0,0.7993975281715393,0.6499853730201721,40832.0,319.0
