Column1,Column2,Column3,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
5,10,0.63,0.277860504,2.150999403,0.193112064,0.100811103
6,12,0.63,0.320895377,2.090235662,0.367982374,0.114354556
7,14,0.63,0.394636554,2.02619803,0.182869871,0.162386688
8,16,0.63,0.467309952,1.944495487,0.179761379,0.186752678
9,18,0.63,0.503796041,1.867049813,0.063812021,0.205986927
10,20,0.63,0.533943969,1.778789783,0.142972728,0.209076913
11,22,0.63,0.572335422,1.683268762,0.227117082,0.285730273
12,24,0.63,0.610388911,1.579809022,0.10161604,0.248542218
13,26,0.63,0.607087588,1.493360114,0.152458192,0.27954071
14,28,0.63,0.64157033,1.398602605,0.15926118,0.241176163
15,30,0.63,0.647139513,1.333320332,0.076513186,0.305967434
16,32,0.63,0.643784273,1.265722656,0.082294132,0.152055352
17,34,0.63,0.668446326,1.187587142,0.075594525,0.173087026
18,36,0.63,0.693725514,1.108279824,0.061582079,0.237493194
19,38,0.63,0.697609723,1.051783562,0.079710092,0.216129161
20,40,0.63,0.703232753,1.016243947,0.079963529,0.188298279
21,42,0.63,0.700440836,0.994715989,0.133688447,0.205882734
22,44,0.63,0.716536045,0.94474088,0.098297487,0.187004739
23,46,0.63,0.734360301,0.891866064,0.071795413,0.172271342
24,48,0.63,0.724882448,0.902090585,0.0330449,0.095009427
25,50,0.63,0.729413211,0.867230415,0.070670027,0.169196168
26,52,0.63,0.742030764,0.833301866,0.056344588,0.117154834
27,54,0.63,0.731916153,0.850713801,0.131372472,0.343913823
28,56,0.63,0.74022336,0.823284876,0.083407036,0.226615215
29,58,0.63,0.739346588,0.828752685,0.078358789,0.208230987
30,60,0.63,0.75999707,0.767389143,0.062186179,0.147182863
31,62,0.63,0.754932404,0.776842403,0.09476259,0.214342973
32,64,0.63,0.757650864,0.764676309,0.05530995,0.141738674
33,66,0.63,0.7724383,0.717419016,0.022591107,0.070900046
34,68,0.63,0.76115793,0.750238955,0.067601941,0.148521456
35,70,0.63,0.776787817,0.708694029,0.043465726,0.121620464
