Column1,Column2,Column3,Column4,Column5,Column6
200,0,10.7703374,0,1.485399746,0
200,1,10.5223992,0,1.535216307,0
200,2,8.25673314,0.010233232,1.403451277,0.018607975
200,3,2.04670532,0.279878198,1.055177447,0.11403153
200,4,0.861067986,0.536659614,0.153257626,0.047827467
200,5,0.733194718,0.64132172,0.250060937,0.05340556
200,6,0.715342756,0.68054937,0.023441264,0.011350632
200,7,0.693512572,0.708370614,0.108487313,0.035152496
200,8,0.670988918,0.72317662,0.129221189,0.059246335
200,9,0.6952453,0.72163372,0.081431293,0.077434894
200,10,0.692394632,0.7162693,0.0814924,0.071982415
200,11,0.683204094,0.723299186,0.063789775,0.040536236
200,12,0.66328779,0.746795296,0.154523817,0.036536349
200,13,0.682798314,0.740345008,0.083793731,0.065944615
200,14,0.68568084,0.736925134,0.157184494,0.080411489
200,15,0.67258396,0.748573704,0.124278397,0.054438385
200,16,0.674994172,0.748688196,0.118474194,0.030566729
200,17,0.681130344,0.755646646,0.086105565,0.058043785
200,18,0.688743536,0.753149546,0.083275041,0.059373163
200,19,0.67344428,0.753731346,0.091047823,0.060353012
200,20,0.70164282,0.756439748,0.116938375,0.043613933
200,21,0.676001392,0.751703216,0.122302039,0.03686239
200,22,0.699028622,0.751568212,0.116673412,0.051028967
200,23,0.690242004,0.7507472,0.117729144,0.040199713
200,24,0.672025762,0.7595044,0.082807114,0.044128079
200,25,0.693165348,0.753209046,0.242551709,0.137444164
200,26,0.688162068,0.762085054,0.137731989,0.032742827
200,27,0.664338624,0.75577406,0.19529497,0.046117757
200,28,0.671998624,0.738366628,0.153899581,0.079615621
200,29,0.661209738,0.761368152,0.032214152,0.04332045
200,30,0.668626972,0.7627584,0.236387065,0.049616042
200,31,0.691174734,0.756464762,0.079367881,0.047419385
200,32,0.69548884,0.744472392,0.060856047,0.040892502
200,33,0.672296072,0.763421404,0.126703865,0.031548833
200,34,0.670894028,0.75515254,0.123497443,0.022555502
200,35,0.672241248,0.756848184,0.088044261,0.064802868
200,36,0.665319132,0.753521928,0.035429393,0.092503123
200,37,0.67519483,0.76067906,0.150588402,0.053688484
200,38,0.692656574,0.759542446,0.182841789,0.077969797
200,39,0.67300712,0.762200318,0.1917552,0.078526248
200,40,0.687569516,0.755269868,0.137867173,0.064646138
