Column1,Column2,Column3,AVG_acc,AVG_loss,interval_acc,interval_loss
8,16,100,0.00948,4.605178738,0.006065885,4.92E-05
9,18,100,0.00952,4.605176735,0.006220602,4.99E-05
10,20,100,0.00946,4.605174828,0.005781073,4.89E-05
11,22,100,0.00948,4.605172539,0.005785181,5.15E-05
12,24,100,0.00946,4.605170727,0.005898058,5.35E-05
13,26,100,0.00944,4.605168819,0.005656421,5.28E-05
14,28,100,0.00946,4.605167389,0.005582423,5.37E-05
15,30,100,0.00936,4.605165482,0.005348743,5.37E-05
16,32,100,0.0094,4.605162716,0.00517603,5.31E-05
17,34,100,0.00942,4.605160427,0.005109031,5.51E-05
18,36,100,0.00948,4.605158329,0.005291799,5.60E-05
19,38,100,0.00938,4.605156517,0.005258013,5.89E-05
20,40,100,0.00944,4.605154324,0.005081049,5.99E-05
21,42,100,0.00946,4.60515213,0.004944771,6.24E-05
22,44,100,0.00946,4.605150032,0.004859949,6.20E-05
23,46,100,0.0094,4.605147552,0.004467641,6.38E-05
24,48,100,0.00926,4.605145836,0.004009335,6.55E-05
25,50,100,0.00928,4.605143642,0.003849079,6.69E-05
26,52,100,0.00932,4.605141544,0.003282671,6.90E-05
27,54,100,0.0094,4.605139828,0.003297115,7.07E-05
28,56,100,0.00942,4.60513792,0.00339826,7.09E-05
29,58,100,0.00942,4.605135727,0.003048084,7.41E-05
30,60,100,0.00944,4.605134392,0.003238947,7.58E-05
31,62,100,0.00936,4.605132675,0.003059756,7.83E-05
32,64,100,0.00938,4.605130482,0.002877663,7.90E-05
33,66,100,0.00932,4.605128479,0.002663242,7.93E-05
34,68,100,0.00934,4.605126667,0.002981085,8.30E-05
35,70,100,0.00936,4.605125237,0.00263183,8.42E-05
36,72,100,0.00938,4.605123329,0.00236807,8.65E-05
37,74,100,0.0094,4.605121136,0.002473587,8.69E-05
38,76,100,0.00944,4.605119038,0.001897339,9.05E-05
39,78,100,0.00956,4.605117702,0.001733739,9.17E-05
40,80,100,0.00958,4.605115604,0.001971049,9.44E-05
41,82,100,0.0097,4.605114269,0.00168861,9.56E-05
42,84,100,0.00968,4.605112457,0.001365756,9.90E-05
43,86,100,0.00968,4.605110359,0.001365756,0.00010196
44,88,100,0.00984,4.605108833,0.00093129,0.00010252
45,90,100,0.00984,4.605107117,0.001158678,0.000105495
46,92,100,0.00988,4.605105209,0.001275804,0.000107304
47,94,100,0.00992,4.605103588,0.001275804,0.000108436
48,96,100,0.00992,4.605101967,0.001568226,0.000109335
49,98,100,0.00994,4.605099773,0.00204791,0.000112104
50,100,100,0.0099,4.605098152,0.002082428,0.000112603
